date,station,rr
2016-02-28,ARG SMPK Tanah Datar,0.0
2016-02-29,ARG SMPK Tanah Datar,0.0
2016-03-01,ARG SMPK Tanah Datar,0.0
2016-03-02,ARG SMPK Tanah Datar,0.0
2016-03-03,ARG SMPK Tanah Datar,0.0
2016-03-04,ARG SMPK Tanah Datar,0.0
2016-03-05,ARG SMPK Tanah Datar,0.0
2016-03-06,ARG SMPK Tanah Datar,0.0
2016-03-07,ARG SMPK Tanah Datar,0.0
2016-03-08,ARG SMPK Tanah Datar,0.0
2016-03-09,ARG SMPK Tanah Datar,0.0
2016-03-10,ARG SMPK Tanah Datar,0.0
2016-03-11,ARG SMPK Tanah Datar,0.0
2016-03-12,ARG SMPK Tanah Datar,0.0
2016-03-13,ARG SMPK Tanah Datar,0.0
2016-03-14,ARG SMPK Tanah Datar,0.0
2016-03-15,ARG SMPK Tanah Datar,0.0
2016-03-16,ARG SMPK Tanah Datar,0.0
2016-03-17,ARG SMPK Tanah Datar,0.0
2016-03-18,ARG SMPK Tanah Datar,0.0
2016-03-19,ARG SMPK Tanah Datar,0.0
2016-03-20,ARG SMPK Tanah Datar,0.0
2016-03-21,ARG SMPK Tanah Datar,0.0
2016-03-22,ARG SMPK Tanah Datar,0.0
2016-03-23,ARG SMPK Tanah Datar,0.0
2016-03-24,ARG SMPK Tanah Datar,0.0
2016-03-25,ARG SMPK Tanah Datar,0.0
2016-03-26,ARG SMPK Tanah Datar,0.0
2016-03-27,ARG SMPK Tanah Datar,0.0
2016-03-28,ARG SMPK Tanah Datar,0.0
2016-03-29,ARG SMPK Tanah Datar,0.0
2016-03-30,ARG SMPK Tanah Datar,0.0
2016-03-31,ARG SMPK Tanah Datar,0.0
2016-04-01,ARG SMPK Tanah Datar,0.0
2016-04-02,ARG SMPK Tanah Datar,0.0
2016-04-03,ARG SMPK Tanah Datar,0.0
2016-04-04,ARG SMPK Tanah Datar,0.0
2016-04-05,ARG SMPK Tanah Datar,0.0
2016-04-06,ARG SMPK Tanah Datar,0.0
2016-04-07,ARG SMPK Tanah Datar,0.0
2016-04-08,ARG SMPK Tanah Datar,0.0
2016-04-09,ARG SMPK Tanah Datar,0.0
2016-04-10,ARG SMPK Tanah Datar,0.0
2016-04-11,ARG SMPK Tanah Datar,0.0
2016-04-12,ARG SMPK Tanah Datar,0.0
2016-04-13,ARG SMPK Tanah Datar,0.0
2016-04-14,ARG SMPK Tanah Datar,0.0
2016-04-15,ARG SMPK Tanah Datar,0.0
2016-04-16,ARG SMPK Tanah Datar,0.0
2016-04-17,ARG SMPK Tanah Datar,0.0
2016-04-18,ARG SMPK Tanah Datar,0.0
2016-04-19,ARG SMPK Tanah Datar,0.0
2016-04-20,ARG SMPK Tanah Datar,0.0
2016-04-21,ARG SMPK Tanah Datar,0.0
2016-04-22,ARG SMPK Tanah Datar,0.0
2016-04-23,ARG SMPK Tanah Datar,0.0
2016-04-24,ARG SMPK Tanah Datar,0.0
2016-04-25,ARG SMPK Tanah Datar,0.0
2016-04-26,ARG SMPK Tanah Datar,0.0
2016-04-27,ARG SMPK Tanah Datar,0.0
2016-04-28,ARG SMPK Tanah Datar,0.0
2016-04-29,ARG SMPK Tanah Datar,0.0
2016-04-30,ARG SMPK Tanah Datar,0.0
2016-05-01,ARG SMPK Tanah Datar,0.0
2016-05-02,ARG SMPK Tanah Datar,0.0
2016-05-03,ARG SMPK Tanah Datar,0.0
2016-05-04,ARG SMPK Tanah Datar,0.0
2016-05-05,ARG SMPK Tanah Datar,0.0
2016-05-06,ARG SMPK Tanah Datar,0.0
2016-05-07,ARG SMPK Tanah Datar,0.0
2016-05-08,ARG SMPK Tanah Datar,0.0
2016-05-09,ARG SMPK Tanah Datar,0.0
2016-05-10,ARG SMPK Tanah Datar,0.0
2016-05-11,ARG SMPK Tanah Datar,0.0
2016-05-12,ARG SMPK Tanah Datar,0.0
2016-05-13,ARG SMPK Tanah Datar,0.0
2016-05-14,ARG SMPK Tanah Datar,0.0
2016-05-15,ARG SMPK Tanah Datar,0.0
2016-05-16,ARG SMPK Tanah Datar,0.0
2016-05-17,ARG SMPK Tanah Datar,0.0
2016-05-18,ARG SMPK Tanah Datar,0.0
2016-05-19,ARG SMPK Tanah Datar,0.0
2016-05-20,ARG SMPK Tanah Datar,0.0
2016-05-21,ARG SMPK Tanah Datar,0.0
2016-05-22,ARG SMPK Tanah Datar,0.0
2016-05-23,ARG SMPK Tanah Datar,0.0
2016-05-24,ARG SMPK Tanah Datar,0.0
2016-05-25,ARG SMPK Tanah Datar,0.0
2016-05-26,ARG SMPK Tanah Datar,0.0
2016-05-27,ARG SMPK Tanah Datar,0.0
2016-05-28,ARG SMPK Tanah Datar,0.0
2016-05-29,ARG SMPK Tanah Datar,0.0
2016-05-30,ARG SMPK Tanah Datar,0.0
2016-05-31,ARG SMPK Tanah Datar,0.0
2016-06-01,ARG SMPK Tanah Datar,0.0
2016-06-02,ARG SMPK Tanah Datar,0.0
2016-06-03,ARG SMPK Tanah Datar,0.0
2016-06-04,ARG SMPK Tanah Datar,2.6
2016-06-05,ARG SMPK Tanah Datar,0.0
2016-06-06,ARG SMPK Tanah Datar,0.0
2016-06-07,ARG SMPK Tanah Datar,0.0
2016-06-08,ARG SMPK Tanah Datar,0.0
2016-06-09,ARG SMPK Tanah Datar,0.0
2016-06-10,ARG SMPK Tanah Datar,0.0
2016-06-11,ARG SMPK Tanah Datar,0.0
